#,Framework,Sticker,Slot,Best Use,,
1,Free Energy Principle,prediction error minimisation,Signal,Neuroscience foundation for BCI signal processing,,
2,Active Inference,action = perception updates,Signal/Human,Translating neural intent into adaptive behaviours,,
3,Hebbian Learning,neurons that fire together wire together,Signal,Neuroplasticity models in rehab,,
4,Neural Darwinism,selection of neural circuits,Signal,Explaining variability in outcomes,,
5,Network Neuroscience,brain as graph,Signal,Mapping neural connectivity changes,,
6,Biopsychosocial Model,mind–body–society,Human,Holistic patient framing,,
7,Self-Organised Criticality,power-law cascades,Signal/Loop,Understanding instability events in neural systems,,
8,Panarchy (Adaptive Cycle),growth–conservation–release–reorg,Society/Loop,Renewal cycles in health systems and policy,,
9,Complex Adaptive Systems,agents + emergence,Human/Org,Modelling behaviour across actors,,
10,Cynefin,sense–categorise–probe–respond,Org/Society,Decision modes under uncertainty,,
11,S-Curve / Sigmoid,slow–fast–plateau,Loop,"Tech adoption, team growth phases",,
12,Diffusion of Innovations,innovators to laggards,Society,Market/regulator adoption of neurotech,,
13,Learning Health System,data → evidence → practice loop,Org/Loop,Continuous clinical feedback,,
14,OODA Loop,observe–orient–decide–act,Org/Human,Warfighter & crisis decisions,,
15,Systems Thinking (Meadows),leverage points,Society/Loop,Understanding feedback structures,,
16,Resilience Engineering,anticipate–monitor–respond–learn,Org/Society,Safety and adaptation in deployment,,
17,High Reliability Org (HRO),mindful organising,Org,Hospitals & defence ops safety culture,,
18,Dynamic Capabilities (Teece),sense–seize–reconfigure,Org,Strategic pivots in companies,,
19,Core–Edge Innovation,adjacent markets,Org/Society,Expanding new BCI use cases,,
20,Spiral Dynamics,value systems evolution,Human/Society,Cultural adoption patterns,,
21,Integral Theory (Wilber),quadrants & levels,Society,Framing cross-perspectives,,
22,Antifragility (Taleb),gain from disorder,Org/Loop,Designing systems to strengthen under stress,,
23,Appreciative Inquiry,positive change lens,Human/Org,Culture and adoption programs,,
24,Kotter 8 Steps,burning platform to anchor change,Org,Change programs in hospitals or defence,,
25,Prosci ADKAR,"awareness, desire, knowledge, ability, reinforcement",Human/Org,Individual adoption of BCIs,,
26,McKinsey 7-S,"structure, systems, staff, style, skills, strategy, shared values",Org,Org alignment pre-deployment,,
27,Viable System Model (Beer),recursion and viability,Org,Structuring large complex orgs,,
28,Stakeholder Theory (Freeman),stakeholders = central,Org/Society,"Multi-party alignment (regulators, patients, military)",,
29,Public Value Framework,"create, measure, sustain",Society,Justifying public funding of BCI,,
30,Commons Theory (Ostrom),governance of shared resources,Society,"Shared datasets, neurocommons",,
31,Game Theory (Nash),strategy equilibrium,Org/Society,Negotiation in defence/insurer contexts,,
32,Trust Game,repeated cooperation/defection,Human/Society,Patient trust modelling,,
33,Principal–Agent Problem,misaligned incentives,Org,Insurer vs patient vs provider,,
34,Belmont Report,"respect, beneficence, justice",Human/Society,Bioethics anchor,,
35,Triple Bottom Line,"people, planet, profit",Society,ESG framing of BCI,,
36,Doughnut Economics (Raworth),safe & just operating space,Society,Policy balance adoption vs risk,,
37,ESG / B-Corp Principles,stakeholder balance,Org/Society,Ethics in scale-up phase,,
38,Gartner Hype Cycle,inflated expectations curve,Loop,Positioning BCI tech maturity,,
39,Technology Readiness Levels (TRL),TRL 1–9,Org,Clinical trial maturity assessment,,
40,Horizon Scanning,foresight methods,Society,Long-range planning for BCI impact,,
41,Blue Ocean Strategy,uncontested market space,Org,Finding novel BCI niches,,
42,Christensen Disruption,low-end disruptor wins,Org,New entrant strategy,,
43,Porter's Value Chain,primary + support activities,Org,BCI ecosystem mapping,,
44,Platform Economy Models,value grows with users,Society,Neurotech ecosystems,,
45,Network Effects,more users = more value,Society,Scaling adoption of neural data standards,,
46,Metcalfe’s Law,value ∝ n²,Society,Quantifying BCI network growth,,
47,Jevons Paradox,efficiency → more consumption,Loop,Warning on rebound effects,,
48,Amara’s Law,we over/underestimate tech,Society,Framing expectations,,
49,Belmont 2.0 (extended ethics),"fairness, autonomy, inclusivity",Human,Updated AI ethics context,,
50,IEEE Ethically Aligned Design,standardised AI ethics,Org/Society,Technical alignment,,
51,UNESCO AI Ethics,global AI ethics principles,Society,UN framing for adoption,,
52,OECD AI Principles,responsible AI adoption,Society,OECD policy framing,,
53,Responsible Innovation (Stilgoe),anticipate–reflect–engage–act,Org/Society,Embedding reflexivity,,
54,FAT ML Principles,"fairness, accountability, transparency",Human/Org,Trustworthy ML integration,,
