Category,Subcategory,Tag/Item,Description,Usage Context,Related Items
Research Tags,Behavioral & Cognitive,behavioral-economics,Study of psychological factors in economic decisions,Thinkers: Kahneman; Books: Thinking Engine,"kahneman, decision-science, cognitive-bias"
Research Tags,Behavioral & Cognitive,cognitive-bias,Systematic patterns of deviation from rationality,Thinkers: Kahneman; Frameworks: Nudge Theory,"behavioral-economics, decision-science"
Research Tags,Behavioral & Cognitive,decision-science,Scientific study of decision-making processes,Thinkers: Simon; Books: Thinking Engine,"behavioral-economics, bounded-rationality"
Research Tags,Behavioral & Cognitive,bounded-rationality,Concept that rationality is limited by cognitive constraints,Thinkers: Simon; Frameworks: Satisficing,"decision-science, cognitive-bias"
Research Tags,Behavioral & Cognitive,heuristics,Mental shortcuts used in problem-solving,Thinkers: Kahneman; Books: Thinking Engine,"cognitive-bias, decision-science"
Research Tags,Behavioral & Cognitive,nudge-theory,Framework for influencing behavior through choice architecture,Frameworks: Nudge; Books: Thinking Engine,"behavioral-economics, choice-architecture"
Research Tags,AI & Technology,ai-ethics,Ethical considerations in AI development and deployment,Books: Tech for Humanity; Sections: ethics-consent,"ethics, governance, ai-alignment"
Research Tags,AI & Technology,machine-learning,Algorithms that improve through experience,All tech-focused content,"deep-learning, neural-networks, ai-general"
Research Tags,AI & Technology,neural-networks,Computing systems inspired by biological neural networks,Books: Quantum Logic; Sections: quantum-computation,"machine-learning, deep-learning"
Research Tags,AI & Technology,ai-alignment,Ensuring AI systems align with human values,Books: Tech for Humanity; Sections: ethics-consent,"ai-ethics, ai-safety"
Research Tags,AI & Technology,ai-safety,Preventing unintended harm from AI systems,Books: Tech for Humanity; Sections: ethics-consent,"ai-ethics, ai-alignment"
Research Tags,AI & Technology,explainable-ai,Making AI decision-making transparent and interpretable,Books: Thinking Engine; Sections: frameworks,"ai-ethics, transparency"
Research Tags,AI & Technology,generative-ai,AI systems that create new content,Era: Generative AI; All contemporary content,"llm, gpt, diffusion-models"
