lobe,era,capability,notes
Perception/Patterning,On-Prem,Logs and batch reports,"Periodic, lagging signals"
Perception/Patterning,Cloud-Native,Streams and feature stores,"Near real-time patterns"
Perception/Patterning,Gen AI,Embeddings and vectors,"Semantic retrieval at scale"
Perception/Patterning,Agentic AI,Live world models,"Continuously updated state graphs"
Perception/Patterning,BCI,Neural signals,"Consent-first neural inputs"
Decision/Action,On-Prem,Rules and tickets,"Manual gating"
Decision/Action,Cloud-Native,APIs and SLOs,"Automated paths with guardrails"
Decision/Action,Gen AI,Prompts with review,"Human in the loop"
Decision/Action,Agentic AI,Plans + tools,"Bounded autonomy with rollback"
Decision/Action,BCI,Reflex loops,"Hard stops and safety tiers"
Innovation/Strategy,On-Prem,Projects + CAPEX,"Slow cycles"
Innovation/Strategy,Cloud-Native,Products + CI/CD,"Faster iteration"
Innovation/Strategy,Gen AI,Prompt ops,"Rapid prototyping"
Innovation/Strategy,Agentic AI,Continuous experiments,"Portfolio refresh as default"
Innovation/Strategy,BCI,New markets + neuro UX,"New categories"
Ethics/Governance,On-Prem,Policy on paper,"Static compliance"
Ethics/Governance,Cloud-Native,IAM + Zero Trust,"Context-aware access"
Ethics/Governance,Gen AI,Bias audits + lineage,"Model transparency"
Ethics/Governance,Agentic AI,Policy as code + overrides,"Provenance and traceability"
Ethics/Governance,BCI,Neuro ethics + med-grade privacy,"Clinical standards"
Culture/Behaviour,On-Prem,Office-first,"Local norms"
Culture/Behaviour,Cloud-Native,Platform culture,"Distributed practices"
Culture/Behaviour,Gen AI,New content + channels,"Narratives shift"
Culture/Behaviour,Agentic AI,Narrative steering + tipping points,"Algorithmic culture"
Culture/Behaviour,BCI,Identity + agency shifts,"Explicit disclosure required"
